country,CPI_2015,Risk_Dec_15,Risk_Nov_14,year,electric_percap,food_prod_index,percent_forest,gdp,income_bottom_20,literacy_male,literacy_female,childmort,net_migration,pop,undernourish,school_complete,researchers,rural_pop,total_debt,urban_pop,row_na
Sweden,11,84.8,82.0,2012,14289.5950931227,95.05,68.91785731821079,544481531961.98,8.5,,,3.0,253958.0,9519374.0,2.5,102.68170166015601,5165.12738,14.38,,8150488.0,3
Switzerland,14,88.3,89.5,2012,7886.094306253421,105.85,31.445489039312,668043614122.87,8.1,,,4.4,397267.0,7996861.0,2.5,97.1382904052734,4455.50701,26.347,,5889928.0,3
Syria,82,35.3,41.5,2012,1363.67587571428,93.83,2.67385503458041,,,,,17.7,-4157896.0,20442541.0,,109.401992797852,,46.445,,10948003.0,7
Tajikistan,74,,,2012,1761.05277126441,134.06,2.9351242340166404,7633049792.093209,,,,39.5,-99999.0,7874835.0,,96.37389373779301,,73.455,12.5191864807894,2090375.0,7
Tanzania,70,62.0,62.3,2012,97.80568212758007,147.42,53.2580717995033,39650530214.3287,,83.3776931762695,84.8480224609375,66.2,-199999.0,47052481.0,33.0,77.2372131347656,,70.507,1.80792749205576,13877188.0,2
Thailand,62,68.0,67.0,2012,2443.6155592232603,131.62,31.9227230910764,397558094269.877,6.6,,,12.1,167314.0,67835957.0,8.8,,,54.555,5.37313720826594,30828051.0,4
Timor-Leste,72,,,2012,,125.86,48.3927354126387,6661664574.7463,,,,57.2,-50004.0,1132994.0,26.8,80.9864730834961,,71.572,0.008383105015553229,322088.0,7
Togo,68,62.5,60.3,2012,144.379667150245,137.58,4.5486301506983615,3873529926.2272296,,,,85.1,-9994.0,6773807.0,19.1,75.0901718139648,35.33795,61.45399999999999,1.14689295279436,2611032.0,3
Trinidad and Tobago,61,76.5,76.8,2012,6612.79564431443,95.76,44.7621841876829,25769329445.0666,,,,30.0,-4999.0,1344817.0,7.5,,,46.32899999999999,,721777.0,6
Tunisia,62,65.0,63.5,2012,1408.86855188189,119.97,6.503604688556,45044112939.3687,,88.4757766723633,95.7175827026367,15.8,-65963.0,10847002.0,4.5,,1621.98388,32.782,11.498902379972598,7291138.0,2
Turkey,58,61.5,61.5,2012,2768.97051285912,126.46,14.822446896154599,873982246611.9541,5.8,98.2629013061523,98.4126510620117,16.6,1627172.0,74653016.0,2.5,99.85809326171879,1101.2818,28.026,26.937678431679696,53730762.0,0
Turkmenistan,82,,,2012,2428.86159570227,113.07,8.78215904496414,35164210526.3158,,,,55.8,-50002.0,5267900.0,4.9,,,50.825,,2590490.0,8
Uganda,75,59.8,58.0,2012,,96.49,12.3808103812899,23114293416.3905,6.4,79.1230392456055,81.6541976928711,67.3,-150000.0,34559168.0,32.4,53.9231185913086,,79.57600000000002,1.36411983025618,7058364.0,2
Ukraine,73,52.5,54.3,2012,3640.55683620181,127.05,16.5566519529362,175781379051.433,10.2,99.9939422607422,99.9827194213867,10.7,-200000.0,45593300.0,2.5,97.7576370239258,1233.86159,31.218000000000004,31.306371757943506,31359984.0,0
United Arab Emirates,30,77.8,82.8,2012,10416.0148840531,64.57,4.49760649715198,374590605854.323,,,,8.2,480000.0,9141596.0,5.1,95.0061264038086,,15.251,,7747411.0,5
United Kingdom,19,82.0,78.8,2012,5449.2522013240105,99.7,12.7846897863018,2676605417645.99,7.6,,,4.8,990000.0,63700300.0,2.5,,3986.84956,18.163,,52130415.0,4
United States,24,78.0,77.3,2012,12964.3301891078,107.97,33.8095331798474,16197007349000.0,,,,7.1,4500000.0,313874218.0,2.5,,4034.65108,18.881,,254611627.0,5
Uruguay,26,71.0,72.0,2012,2946.4565279283,121.9,10.1518685252936,51264390116.4909,5.6,98.10397338867192,99.2977828979492,9.9,-30000.0,3378974.0,2.5,,537.27401,5.261,,3201206.0,2
Uzbekistan,81,,,2012,1610.80790609414,141.03,7.64753175779415,51821573338.1312,,,,31.6,-66469.0,29774500.0,7.6,92.6897506713867,511.49564,48.95,,15199882.0,6
Venezuela,83,49.3,54.8,2012,3304.22029851802,115.41,53.4847222025395,381286237847.6671,,,,17.0,-69121.0,29362449.0,4.7,95.0311737060547,290.56892,11.877,23.7242932631372,25875071.0,3
Vietnam,69,71.5,70.0,2012,1206.30289448443,131.57,46.3959751023962,155820001920.492,7.1,,,22.4,-200002.0,89802487.0,12.6,101.858070373535,,68.248,3.64215267163688,28514086.0,3
Yemen,82,50.3,59.5,2012,193.804008617107,141.49,1.03983180862549,35401339869.3055,,,,55.4,-75010.0,24473178.0,25.9,68.9860992431641,,67.042,2.72624573630476,8065870.0,4
Zambia,62,64.8,67.0,2012,733.211979353647,176.25,66.0955901764215,25503370699.2015,,,,74.9,-34490.0,14465121.0,47.7,86.06678009033199,,59.646,2.19551513623649,5837255.0,4
Zimbabwe,79,54.5,54.5,2012,608.762504926562,94.08,38.7726514031601,17114849900.0,,,,73.8,-249999.0,13115131.0,41.9,88.06185913085942,,67.166,15.9251001010499,4306222.0,4
