country,CPI_2015,Risk_Dec_15,Risk_Nov_14,year,electric_percap,food_prod_index,percent_forest,gdp,income_bottom_20,literacy_male,literacy_female,childmort,net_migration,pop,undernourish,school_complete,researchers,rural_pop,total_debt,urban_pop,row_na
Congo Republic,77,63.5,68.8,2012,214.624723792614,132.65,65.5349903916545,13677930123.5919,,,,57.6,-60001.0,4510198.0,39.2,70.3007125854492,,35.831,1.63038158291464,2894149.0,4
Costa Rica,45,73.5,73.5,2012,1942.83276450512,122.03,52.2013298539708,46473131798.8916,4.2,,,9.8,19658.0,4688000.0,5.4,102.631301879883,339.69887,26.054,14.8241438600905,3466588.0,2
Croatia,49,70.0,68.5,2012,3819.28025348455,106.53,34.3245183850631,56548374544.8951,6.9,,,5.2,-32772.0,4267558.0,2.5,92.4488296508789,1556.60643,44.494,,2368751.0,3
Cuba,53,70.0,65.5,2012,1379.21832628134,102.08,28.550759891079107,73141000000.0,,99.70606231689449,99.89520263671879,5.8,-73271.0,11257101.0,2.5,96.8739776611328,,23.219,,8643315.0,3
Cyprus,39,72.0,69.3,2012,4035.0787545174403,81.52,18.6991340670235,25041397918.5404,8.0,,,3.3,22509.0,1135046.0,4.3,100.064140319824,1017.46435,32.739000000000004,,763443.0,3
Czech Republic,44,76.8,78.3,2012,6304.57192302954,92.42,34.455522465363195,207376427020.815,9.6,,,3.2,59997.0,10510785.0,2.5,100.96916198730499,3137.61563,26.803,,7693579.0,3
Denmark,9,81.0,81.3,2012,6038.552306936221,105.62,14.221005350046198,327148899962.146,9.3,,,4.1,106841.0,5591572.0,2.5,98.2613677978516,7143.59808,12.858,,4872608.0,3
Djibouti,66,,,2012,,134.2,0.241587571381906,1353632941.5207,4.3,,,72.2,6002.0,868136.0,20.2,,,22.862,8.567423217432951,669663.0,7
Dominican Republic,67,72.8,71.5,2012,1499.3589208482501,127.11,38.9857177481693,60657780260.6792,4.9,90.0848236083984,97.7692337036133,33.5,-153010.0,9930911.0,13.4,93.52136993408199,,24.198,16.466172533959597,7527829.0,1
DRC,78,57.3,55.3,2012,112.18365979145399,109.91,67.7145202465759,29306235826.376,5.5,87.90838623046879,76.6585006713867,108.3,15060.0,69020747.0,,70.9484024047852,,58.918,3.08370369038504,28355103.0,2
Ecuador,68,61.5,67.0,2012,1277.03694857382,117.48,51.473989684832496,87924544000.0,4.3,93.25424194335942,98.89453887939449,16.7,-38001.0,15474102.0,8.3,111.943588256836,282.15916,37.012,9.90656886780926,9746827.0,0
Egypt,64,60.3,59.0,2012,1685.46892559138,118.75,0.0715254376897305,279372758361.832,9.5,81.6792221069336,86.0515899658203,26.7,-275026.0,86422240.0,4.4,,508.95163,57.054,6.534468884128961,37114895.0,1
El Salvador,61,65.8,66.8,2012,915.689404950975,115.48,13.4266415157834,21386160000.0,5.7,,,17.6,-240415.0,6237923.0,12.3,103.870506286621,,32.813,19.1502651375232,4191073.0,3
Eritrea,82,,,2012,,104.36,15.081187635365099,,,,,51.3,-159999.0,,,41.763191223144496,,,,,13
Estonia,30,69.3,69.5,2012,6689.36777611787,128.79,52.6822352246256,23043864510.0543,7.3,,,3.9,-10516.0,1322696.0,2.9,103.76291656494101,3458.2854700000007,32.026,,899089.0,3
Ethiopia,67,61.0,59.3,2012,57.210970473736296,147.09,12.3772001953125,43310721414.0829,,,,75.1,-60001.0,92726971.0,29.0,50.3893013000488,,81.84,7.054283224424441,16839218.0,4
Finland,10,80.0,79.0,2012,15689.223307623899,93.03,73.1119813090263,256706466091.089,9.4,,,2.8,81416.0,5413971.0,2.5,100.041297912598,7476.17763,15.159,,4593267.0,3
